X,Y
79.281,17.776
79.281,17.776
80.44,17.871
80.134,18.202
79.965,17.941
80.495,18.065
80.438,17.095
80.162,17.403
80.153,17.43
80.153,17.43
80.153,17.43
79.421,17.77
79.617,17.666
80.303,18.287
81.695,19.008
81.45,19.2
81.338,18.573
79.18,17.433
79.044,15.8
81.924,11.016
83.408,7.035
85.386,4.601
85.578,3.659
83.259,3.045
81.322,3.858
78.375,5.425
77.537,5.672
77.678,5.293
79.128,5.224
80.704,4.835
82.976,3.671
83.496,3.158
83.809,2.762
82.894,2.048
82.98,1.919
82.116,1.839
81.343,1.113
79.75,1.442
77.015,1.928
76.63,2.372
78.32,3.123
79.186,4.366
77.687,6.264
75.949,8.619
75.141,10.529
74.798,11.271
74.585,8.952
72.967,4.943
70.491,1.803
67.953,1.052
65.778,0.891
63.682,2.89
62.376,5.475
60.845,7.748
59.928,10.54
58.277,12.23
56.81,13.894
55.672,15.407
54.171,17.292
53.734,19.215
54.779,20.881
57.265,21.279
59.279,20.591
60.2,21.555
60.112,22.601
59.64,22.455
59.246,23.147
59.257,24.239
59.025,25.488
59.416,26.055
60.064,26.559
61.652,27.653
62.863,28.174
61.241,30.732
58.009,35.142
54.007,40.358
49.47,45.896
44.512,50.528
40.555,54.479
35.522,57.454
30.85,59.954
30.473,61.309
30.931,61.347
30.684,61.255
31.675,61.072
34.41,60.522
38.025,59.623
41.566,59.152
44.569,58.356
46.966,57.387
48.663,56.979
49.64,56.847
49.848,56.911
49.215,56.52
48.29,55.356
47.41,53.541
45.115,51.478
43.302,49.64
42.324,47.585
41.45,46.288
40.395,44.501
39.275,41.973
40.191,38.712
42.577,38.668
44.462,38.253
47.01,38.057
50.013,41.415
50.344,46.769
50.062,49.993
49.872,51.678
51.797,52.685
51.273,53.038
50.477,54.337
50.782,54.56
52.304,54.939
52.32,56.049
51.743,56.04
50.818,56.18
49.963,56.599
49.317,56.743
48.527,56.897
48.052,57.713
47.961,58.84
48.096,59.78
48.254,60.446
48.925,61.134
49.611,62.283
50.437,62.489
51.045,62.747
51.79,63.281
52.644,63.765
53.483,64.053
54.611,64.816
55.447,65.582
56.089,66.101
56.887,66.45
57.459,67.235
57.383,67.563
57.7,68.367
57.834,68.287
57.304,66.725
56.601,64.571
55.788,61.611
54.839,58.83
53.779,56.816
50.147,55.026
49.311,52.177
49.588,50.108
47.315,48.575
45.349,46.346
44.526,44.768
44.333,43.556
44.389,43.66
45.407,44.104
46.822,43.973
48.141,45.353
50.286,46.517
51.657,46.59
52.116,48.405
52.959,50.826
51.0,53.122
48.913,55.52
47.12,57.834
44.58,59.478
43.404,61.156
44.572,62.842
44.357,62.582
42.217,62.733
39.955,63.174
37.459,63.386
36.848,63.442
39.071,62.952
41.792,62.553
42.384,62.118
42.353,61.453
41.473,61.985
41.679,64.181
42.705,64.407
43.679,62.369
43.361,60.037
42.251,57.937
41.199,55.626
39.362,52.97
38.101,50.482
37.407,48.46
36.632,48.971
35.814,50.875
36.115,53.9
37.958,56.009
39.229,57.552
38.639,59.562
36.959,60.78
34.971,61.312
33.576,61.299
34.557,60.151
37.604,59.587
41.05,59.868
44.306,59.709
47.229,58.648
48.743,56.752
47.633,55.403
46.719,53.604
44.684,51.652
41.158,49.557
39.907,46.682
39.35,45.047
39.22,43.424
39.168,42.78
39.273,41.526
40.077,40.666
41.991,41.375
43.599,42.639
45.083,44.173
46.137,47.759
46.628,50.933
45.497,53.666
44.849,55.584
44.174,55.513
43.448,54.597
42.22,52.912
41.163,50.582
40.254,48.116
38.096,45.611
34.481,42.871
29.977,40.852
26.119,39.148
22.917,37.535
21.436,36.435
19.628,37.035
18.69,37.815
17.355,40.523
16.021,44.788
15.437,48.426
14.977,52.352
15.134,57.086
16.016,60.421
17.274,62.083
19.204,62.739
21.487,63.727
22.38,64.814
23.252,65.283
25.054,65.742
26.422,65.697
27.239,65.781
27.965,65.95
28.945,66.058
29.195,65.918
29.401,66.33
29.634,66.299
30.273,66.407
31.148,66.235
31.946,66.06
33.13,65.732
34.203,65.492
34.04,65.185
33.345,65.263
32.421,65.665
31.936,65.646
31.844,66.047
31.576,65.811
32.515,64.748
34.455,63.361
36.692,62.103
39.024,61.76
40.816,63.915
40.924,64.149
38.787,64.077
37.015,63.864
37.32,61.832
38.299,59.693
39.495,57.693
40.789,55.048
41.218,51.244
42.23,48.127
43.386,45.194
44.497,42.622
45.395,40.742
47.593,39.199
50.034,37.471
51.2,37.229
50.866,36.172
52.166,34.331
54.332,32.983
56.552,33.209
57.817,34.507
59.281,35.334
60.831,36.563
61.262,37.187
61.469,38.168
61.639,40.079
61.544,42.295
61.821,44.046
62.417,44.416
62.05,43.611
61.444,44.084
60.693,45.006
59.909,45.849
59.143,46.768
58.769,47.927
59.035,45.672
59.95,42.253
61.63,40.365
62.871,41.64
62.717,42.02
61.446,40.217
60.749,38.327
58.73,36.774
58.426,34.191
57.7,33.088
55.279,32.591
52.729,31.942
48.948,31.887
44.306,30.972
41.891,30.48
41.293,32.21
42.321,32.592
43.643,33.792
44.636,37.224
45.075,39.342
45.42,39.783
46.38,39.527
46.608,40.589
46.157,40.509
46.755,40.507
46.647,39.899
46.956,40.086
46.445,39.832
46.891,38.222
48.037,36.061
48.651,35.296
49.675,35.171
51.205,34.788
51.399,35.201
51.92,35.335
51.939,37.454
52.104,38.605
51.991,38.06
51.523,36.025
52.026,34.733
52.596,34.601
53.52,34.959
53.919,34.113
53.663,35.284
53.441,36.428
52.192,36.404
51.333,36.041
51.333,36.041
51.333,36.041
51.333,36.041
51.333,36.041
52.064,33.948
51.036,35.176
52.809,37.643
52.937,38.385
52.614,37.491
52.614,37.491
53.026,36.758
52.564,35.818
51.12,36.618
51.01,36.809
49.979,36.354
50.47,36.473
50.458,36.863
50.119,37.985
50.097,37.435
48.817,39.22
48.036,39.997
47.636,39.755
47.636,39.755
47.636,39.755
47.636,39.755
47.523,38.079
47.621,38.192
47.538,39.18
47.269,38.661
46.982,38.611
47.211,38.792
47.208,37.985
46.919,38.716
46.973,39.257
46.035,37.828
47.263,35.707
48.766,35.206
49.263,35.121
50.566,33.737
51.868,32.743
52.672,32.338
53.262,32.355
54.163,31.78
55.395,30.608
57.82,29.04
61.088,27.925
64.366,27.517
67.261,28.512
68.555,31.62
69.489,35.626
67.777,40.032
64.507,43.454
60.2,45.613
56.04,45.176
53.422,47.72
50.716,51.959
47.381,53.787
45.053,54.079
43.001,54.504
40.163,53.554
35.897,53.081
30.519,54.574
25.329,59.287
21.954,62.715
20.02,62.251
20.653,60.256
21.624,58.216
22.305,58.547
24.269,57.436
28.7,55.858
33.075,55.085
36.701,55.296
38.37,55.883
37.417,56.727
37.027,59.463
37.66,61.501
36.865,62.311
35.403,62.229
33.688,61.62
32.858,60.254
34.013,58.892
35.686,59.326
37.532,60.589
39.536,61.618
39.457,61.504
37.973,60.923
36.497,60.084
34.656,60.367
33.441,62.518
33.923,63.293
36.042,61.957
37.885,58.898
38.608,54.993
37.819,51.526
35.806,49.045
33.242,47.026
32.332,45.428
33.89,43.66
37.494,43.279
42.341,43.764
48.189,42.755
54.013,43.119
60.16,42.323
65.191,42.398
68.86,42.119
71.717,40.411
71.792,40.102
71.655,40.773
71.675,43.259
72.545,46.215
73.163,48.574
72.946,51.514
72.494,53.488
70.498,54.119
67.555,54.473
64.819,53.294
60.05,51.352
54.751,51.686
48.933,49.352
45.177,46.076
42.933,44.498
41.292,42.624
40.465,42.877
41.038,44.878
42.212,47.653
42.657,51.003
44.21,53.584
45.978,55.922
46.15,56.134
44.898,54.74
43.73,51.893
41.452,50.382
40.899,49.731
40.873,48.94
41.023,46.562
41.227,44.786
42.167,45.176
44.64,46.317
46.919,48.362
48.453,51.121
48.652,53.553
48.197,54.788
45.641,54.74
44.385,56.277
43.991,57.619
43.871,57.509
42.909,56.519
40.359,56.242
35.592,56.612
28.241,58.243
21.885,57.04
17.567,56.776
17.314,58.411
18.224,59.566
20.161,60.535
21.576,61.882
22.994,63.367
24.223,65.111
25.802,66.143
27.824,66.113
29.435,66.29
30.81,66.245
32.014,65.897
33.195,65.429
34.335,65.48
35.984,64.755
36.572,63.883
38.197,64.418
41.102,65.319
43.564,65.64
47.128,65.564
49.931,64.193
51.611,62.791
53.367,61.879
55.728,60.585
57.777,59.073
59.214,57.776
59.107,56.689
57.63,55.296
55.563,53.312
52.844,51.572
50.353,49.713
47.936,50.035
46.721,50.111
45.942,48.961
44.869,48.446
44.424,47.496
42.98,46.887
41.018,46.166
39.542,44.257
38.146,43.15
36.048,41.884
34.192,40.261
33.088,39.326
32.01,37.826
30.294,36.396
